7, -11, 4, 1
0, -5, 0, 4
-13, -9, -8, -6
-6, -8, -5, -2
1, -13, 1, 11
7, 10, 12, 12
-11, 4, -12, 9
12, 2, 10, 8
11, -7, -3, 9
5, -6, -12, -3
-13, 5, 11, 5
12, -13, 9, -8
-5, 7, -4, 12
-13, -12, -13, -7
7, 7, 7, 12
1, 0, 6, 1
3, -11, -6, 10
10, -4, 11, 1
-8, -1, -8, 5
4, -2, 5, 6
-3, -9, -3, 9
-11, -4, -10, 1
-13, 3, -8, 3
-11, -8, -13, -2
-7, -13, -2, -11
-5, -13, -8, -8
-9, 5, -4, 5
-2, -2, -7, 0
-3, 3, 2, 5
-4, -5, 1, 0
8, -3, -9, 12
12, -2, -8, 3
8, 0, 12, 5
4, -13, 3, -8
0, -3, 1, 12
-6, 3, -6, 8
12, -8, 12, -3
-13, 11, -8, 11
3, -9, 5, 11
-13, 7, -11, 12
7, -4, 12, -4
7, -13, 12, -11
3, 6, 9, 10
3, -10, 5, -5
9, 4, 4, 9
0, -11, 5, -9
2, -7, -2, -2
7, 8, -1, 12
-13, -12, 12, -12
-5, -13, 5, 4
2, -5, -8, 7
-8, -2, 7, 12
-11, -7, 8, 5
6, 0, -11, 2
-13, -1, -13, 6
-1, -12, -1, -7
-4, -3, -4, 2
-6, -7, -8, 12
10, -13, 9, 12
2, 4, 3, 9
-2, 1, -2, 6
-1, -11, -2, 2
-10, -9, -5, 6
10, -2, 7, 3
6, -6, 8, -1
-11, -3, -6, -3
-9, 12, -4, 12
-6, -13, -9, 7
9, -10, 4, -9
4, -11, 0, 7
3, -4, 8, -4
-4, -8, -9, -4
-7, -4, -2, 11
-2, -9, 3, 11
0, 3, -4, 8
1, -12, 12, 8
0, -1, -13, 12
3, 0, -1, 5
-6, -10, 1, 8
0, -13, -13, 2
-2, -4, 12, 4
6, -13, -13, 9
-9, -10, 12, 11
8, -11, -6, 3
-4, -9, 10, 0
7, -3, -6, -1
8, 2, -6, 6
11, -8, -13, 3
-9, -6, 11, -4
-13, -1, 12, 1
-13, -11, -12, 12
7, -6, 9, 8
4, -6, 3, 4
-6, -11, -5, -6
-13, -13, -8, -13
0, 7, 0, 12
6, 3, 7, 8
2, -7, 2, -2
9, 4, 12, 9
10, -11, 11, -6
-3, -13, -5, 12
5, 0, 10, 2
-7, -4, -12, 4
-11, 2, -7, 7
12, -8, 5, 9
12, 6, 12, 12
1, -8, -1, 10
3, -13, 5, 7
-12, -13, -2, -2
-9, -2, -4, 1
-1, -5, -5, 12
-5, -1, -2, 4
7, -11, 2, 12
-3, -13, 2, -13
-2, -9, 1, -4
-7, -7, -2, -6
2, -7, 8, 5
-6, 8, -1, 10
-1, -7, -5, 5
1, 4, 6, 5
7, -3, 2, 7
0, -11, -5, -8
-2, 7, 3, 9
8, -7, 0, 2
0, -5, 5, -5
-13, -6, -1, 8
-2, -13, 7, 12
-10, -9, 2, 12
8, -13, -4, 12
-5, -4, 3, 8
-10, 10, 6, 10
-4, 1, 11, 9
-13, -1, 1, 3
-9, -11, 4, -3
3, -9, -9, 3
6, -6, -5, 10
-7, -8, 6, 8
-13, -4, 9, 9
9, -9, -8, 9
-10, -1, 6, 6
12, -4, -12, 8
-8, -5, 11, 6
7, -5, -10, 6
-7, 6, -9, 12
-11, -7, -8, -2
-4, -13, -3, 6
1, 0, 2, 5
12, -6, 9, -1
-1, -6, -1, -1
-7, -5, -7, 2
3, -13, 0, 0
6, -3, 8, 2
-4, -2, -5, 7
3, -4, 12, 12
-6, 0, -10, 8
-3, 4, -2, 9
1, -9, 2, 7
-10, -12, -9, -4
-10, -11, -5, -10
12, -4, 12, 11
8, -11, 12, 5
-3, 5, -6, 11
-8, -8, -13, -5
12, 4, 7, 5
-3, -5, -1, 7
-9, 5, -6, 11
11, -13, 2, 6
8, 1, 6, 6
5, -4, 4, 12
-4, -9, -13, 9
-5, -12, -1, 12
5, -9, 10, -5
12, 8, 7, 12
-2, -9, -4, -4
0, 8, 5, 12
1, -3, 4, 2
4, 6, 2, 11
8, -1, 3, 1
-1, -1, -3, 4
0, -5, 5, 9
-7, -12, -1, 2
-4, 12, 1, 12
-1, -13, 2, 2
4, -12, -1, -8
-3, -11, -8, 2
-6, 3, -1, 7
-2, 1, -7, 5
5, 3, 1, 8
12, -10, -1, -2
1, -4, -3, 1
0, -8, 5, 0
-3, -8, 2, 5
6, -7, 0, 10
-2, -8, 10, 12
12, -4, 1, 12
-6, -4, 0, -3
3, -2, -3, 12
12, 2, 0, 6
